Crop_Type,Soil_Type,Soil_pH,Soil_Organic_Carbon,Total_Nitrogen,Available_Phosphorus,Available_Potassium,Bulk_Density,Rainfall,Temperature,Humidity,Wind_Speed,Evapotranspiration,Soil_Moisture_Level,Growth_Stage,Fertilizer_Type,Fertilizer_Treatment,Application_Rate,Application_Method,Coating_Type,Irrigation_Type,Water_Amount,Total_Fertilizer_Loss_kg_ha,Fertilizer_Loss_Percentage,Nitrogen_Loss,Phosphorus_Loss,Potassium_Loss
Citrus,Clay,6.73,2.11,188.75,41.04,261.54,1.36,94.63,33.4,72.15,4.69,6.94,High,Initial,NK,OF,164.06,Foliar,Controlled_Release,Flood,27.94,63.47,38.69,31.74,19.04,12.69
Vegetable,Clay,6.23,2.44,173.93,16.09,150.9,1.27,62.04,39.11,64.8,0.83,5.57,Medium,Late,NK,CF,169.36,Drip,Controlled_Release,Sprinkler,37.98,56.16,33.16,28.08,16.85,11.23
Wheat,Loamy,6.43,1.72,223.33,46.2,284.45,1.56,25.38,32.45,74.4,1.91,4.98,Medium,Initial,NPK,CF,159.67,Drip,Biochar,Sprinkler,63.45,47.71,29.88,23.86,14.31,9.54
Vegetable,Loamy,6.67,0.52,252.51,36.27,132.99,1.2,82.53,37.1,56.9,2.09,2.39,Medium,Initial,NK,CF,101.22,Drip,Biochar,Sprinkler,78.16,58,57.3,29,17.4,11.6
Corn,Loamy,6.42,0.64,257.35,40.59,50.88,1.57,117.29,18.61,88.86,0.66,3.51,High,Mid,NK,CF,150.3,Foliar,Normal,Flood,12.11,74.88,49.82,37.44,22.46,14.98
Citrus,Clay,7.67,0.97,64.58,58.04,387.13,1.31,104.25,18.48,88.37,5.59,4.66,Low,Initial,NK,CF,61.15,Drip,Controlled_Release,Sprinkler,50.39,49.71,81.29,24.86,14.91,9.94
Wheat,Sandy,6.98,1.48,210.41,14.92,183.57,1.54,70.78,16.21,49.16,3.51,2.17,Medium,Late,NK,CF,96.8,Foliar,Biochar,Flood,31.02,45.99,47.51,23,13.8,9.2
Vegetable,Loamy,5.56,1.33,290.34,77.33,232.95,1.33,109.77,26.43,55.57,2.27,4.89,High,Late,NK,CF,116.34,Drip,Normal,Flood,14.11,64.23,55.21,32.12,19.27,12.85
Citrus,Clay,6.18,2.46,238.76,46.57,85.03,1.41,44.65,21.02,77.65,3.1,6.36,High,Initial,NPK,OF,125.66,Drip,Normal,Drip,48.31,42.12,33.52,21.06,12.64,8.42
Citrus,Loamy,7.63,2.39,179.98,68.72,234.56,1.59,68.78,35.15,55.43,3.53,4.55,Low,Initial,PK,CF,67.99,Foliar,Normal,Drip,33.68,36.62,53.86,18.31,10.99,7.32
Wheat,Sandy,6.4,1.29,299.63,32.29,365.82,1.47,59.43,18.48,44.32,5.23,4.45,High,Initial,NK,OF,73.15,Broadcast,Normal,Flood,15.69,48.11,65.77,24.06,14.43,9.62
Vegetable,Sandy,8.26,2.09,61,31.95,357.18,1.2,62.04,39.62,62.69,5.34,3.79,High,Initial,NK,CF,127.47,Broadcast,Biochar,Drip,67.94,55.68,43.68,27.84,16.7,11.14
Citrus,Clay,7.64,1.77,72.04,73.27,252.28,1.23,116.92,31.37,42.43,0.7,6.43,High,Late,NK,CF,137.26,Drip,Normal,Sprinkler,63.1,65.93,48.03,32.97,19.78,13.19
Citrus,Sandy,6.37,0.99,242.04,18.22,349.86,1.33,28.87,22.71,88.63,3.18,6.88,Low,Late,NPK,OF,63.69,Foliar,Controlled_Release,Flood,26.24,31.13,48.88,15.56,9.34,6.23
Rice,Clay,7.05,2.36,187.44,17.26,177.48,1.39,5.26,38.97,83.67,5.05,4.49,High,Late,Urea,OF,188.04,Broadcast,Biochar,Drip,71.62,48.22,25.64,24.11,14.47,9.64
Citrus,Clay,7.5,1.02,81.11,58.8,117.38,1.13,0.97,33.77,72.76,3.25,6.47,Low,Late,NPK,CF,82.5,Drip,Controlled_Release,Sprinkler,30.14,31.91,38.68,15.96,9.57,6.38
Rice,Clay,6.08,2.24,143.83,42.62,197.57,1.12,24.79,17.21,60.48,4.71,7.42,Low,Late,NPK,CF,114.58,Foliar,Controlled_Release,Drip,50.71,37.75,32.95,18.88,11.32,7.55
Vegetable,Clay,6.24,1.78,66.07,60.21,333.37,1.33,68.1,37.37,46.85,0.52,6.76,High,Late,Urea,OF,80.76,Foliar,Controlled_Release,Drip,41.27,44.83,55.51,22.42,13.45,8.97
Vegetable,Sandy,7.02,1.74,181.61,40.3,297.4,1.36,93.78,31.09,46.65,4.11,3.69,Medium,Late,NPK,CF,184.89,Broadcast,Biochar,Flood,40.74,71.56,38.7,35.78,21.47,14.31
Vegetable,Sandy,8.27,2.18,76.02,24.82,184.62,1.14,29.51,20.36,71.27,1.13,6.45,Medium,Late,PK,CF,191.17,Broadcast,Normal,Sprinkler,32.26,53.49,27.98,26.74,16.05,10.7
Corn,Sandy,6.53,1.49,51.72,60.07,169.53,1.34,21.81,15.5,89.28,5.4,5.93,High,Mid,Urea,CF,107.46,Foliar,Normal,Drip,54.72,41.92,39.01,20.96,12.58,8.38
Vegetable,Sandy,6.71,2.21,130.61,12.73,387.51,1.49,47.45,35.01,47.97,5.66,2.56,Low,Initial,Urea,OF,126.43,Drip,Normal,Sprinkler,33.87,45.04,35.62,22.52,13.51,9.01
Citrus,Clay,6.07,1.6,108.47,41.36,142.18,1.37,84.69,26.63,90.91,5.22,4.97,Low,Late,NK,CF,60.24,Broadcast,Normal,Drip,28.13,43.95,72.96,21.98,13.18,8.79
Wheat,Clay,7.28,2.47,140.52,42.11,157.85,1.34,26.16,17.96,90.31,3.9,7.41,Low,Late,NPK,OF,97.61,Broadcast,Normal,Sprinkler,59.51,33.15,33.96,16.58,9.94,6.63
Rice,Sandy,7.72,1.82,137.61,15.45,171.55,1.14,76.49,29.82,89.13,1.02,3.81,Medium,Late,NPK,CF,87.88,Drip,Normal,Sprinkler,12.54,52.18,59.38,26.09,15.65,10.44
Corn,Loamy,6.82,1.25,207.5,26.91,324.04,1.59,57.54,35.12,52.42,5.48,3.89,Medium,Late,PK,CF,98.68,Drip,Controlled_Release,Sprinkler,41.69,48.6,49.25,24.3,14.58,9.72
Vegetable,Loamy,7.75,2.03,220,28.2,347.56,1.37,14.21,31.35,90.31,4.37,2.39,Low,Mid,Urea,CF,86.45,Drip,Biochar,Drip,10.15,29.08,33.64,14.54,8.72,5.82
Vegetable,Loamy,6.41,1.52,81.84,72.51,125.98,1.32,51.46,35.73,66.31,2.61,6.91,Low,Late,Urea,OF,108.32,Foliar,Controlled_Release,Sprinkler,30.87,42.1,38.87,21.05,12.63,8.42
Wheat,Sandy,7.62,2.11,172.17,45.88,192.58,1.14,34.18,31.26,63.62,3.48,6.13,High,Mid,Urea,CF,90.55,Foliar,Controlled_Release,Flood,14.42,38.25,42.24,19.12,11.48,7.65
Wheat,Clay,6.28,2.17,272.29,56.95,352.89,1.47,67.1,39.99,74.46,4.88,5.42,Medium,Late,Urea,OF,190.95,Broadcast,Normal,Drip,75.23,66,34.56,33,19.8,13.2
Corn,Clay,7.84,1.73,87.1,13.84,159.75,1.24,82.42,24.99,91.24,2.31,6.31,Low,Mid,NPK,OF,105.82,Broadcast,Normal,Sprinkler,64.38,52.35,49.47,26.18,15.7,10.47
Rice,Loamy,7.99,2.24,291.72,17.24,191.34,1.14,113.99,19.32,65.82,5.45,5.93,High,Late,PK,CF,195.35,Broadcast,Normal,Drip,66.61,77.84,39.85,38.92,23.35,15.57
Vegetable,Loamy,7.89,1.31,54.84,49.44,243.78,1.46,79.19,35.84,94.88,4.91,4.02,High,Mid,NPK,CF,197.68,Drip,Normal,Drip,52.88,75.83,38.36,37.92,22.75,15.17
Corn,Clay,6.15,0.61,74.93,68.46,274.51,1.34,12.05,25.47,44.31,5.55,6.79,Low,Late,NK,OF,139.56,Foliar,Normal,Sprinkler,48.54,46.64,33.42,23.32,13.99,9.33
Citrus,Loamy,7.58,1.83,94.39,13.71,156.27,1.13,71.59,28.09,73.46,1.34,5.71,High,Late,NPK,OF,73.98,Foliar,Normal,Sprinkler,53.62,48.06,64.96,24.03,14.42,9.61
Citrus,Loamy,7.12,2.03,167.45,78.84,251.55,1.52,90.61,32.43,92.49,2.17,2.55,Medium,Initial,NPK,CF,179.11,Foliar,Biochar,Drip,59.04,66.84,37.32,33.42,20.05,13.37
Corn,Clay,8.46,0.65,124.79,71.98,303.55,1.32,54.69,17.4,84.26,4.7,7.81,Medium,Late,Urea,CF,185.47,Foliar,Biochar,Sprinkler,78.56,64.29,34.66,32.15,19.29,12.86
Vegetable,Loamy,6.58,2.04,154.54,71.12,81.53,1.17,71.91,19.13,53.96,1.26,5.56,Medium,Late,NK,OF,129.64,Drip,Normal,Drip,40.13,49.63,38.28,24.82,14.89,9.93
Corn,Loamy,7.81,1.78,285.2,10.61,399.76,1.27,49.24,20.26,63.91,5.45,5.27,High,Late,PK,CF,111.91,Broadcast,Normal,Drip,20.48,45.73,40.86,22.86,13.72,9.15
Vegetable,Sandy,6.61,0.73,135.35,38.45,376.46,1.11,17.38,21.36,44.2,2.53,3.93,Medium,Mid,PK,CF,99.85,Foliar,Controlled_Release,Drip,26.06,39.15,39.21,19.58,11.74,7.83
Wheat,Loamy,6.69,1.58,262.03,65.7,103.52,1.59,28.53,29.63,93.7,2.92,7.33,Medium,Late,PK,OF,171.33,Broadcast,Biochar,Sprinkler,62.57,53.54,31.25,26.77,16.06,10.71
Corn,Sandy,5.83,0.72,68.2,63.1,166.18,1.47,61.62,34.64,75.79,5.6,3.24,High,Initial,Urea,OF,170.02,Broadcast,Controlled_Release,Drip,22.44,67.43,39.66,33.72,20.23,13.49
Vegetable,Clay,6.22,1.14,252.99,34.19,148.52,1.12,86.72,33.29,66.17,4.39,4.41,Low,Late,NPK,CF,120.05,Foliar,Controlled_Release,Flood,18.52,58.68,48.88,29.34,17.6,11.74
Corn,Sandy,5.99,2.11,275.39,71.43,57.73,1.22,64.89,18.38,41.99,3.55,6.32,Medium,Initial,NK,OF,141.34,Broadcast,Biochar,Drip,45.52,54.57,38.61,27.28,16.37,10.91
Corn,Clay,5.98,0.7,121.25,54.52,225.69,1.34,66.82,25.5,76.4,1.04,4.95,Low,Mid,Urea,OF,133.94,Broadcast,Normal,Drip,14.74,55.35,41.32,27.68,16.6,11.07
Vegetable,Sandy,5.53,1.42,186.77,79.58,105.38,1.46,50.16,34.05,48.78,1.82,5.24,Low,Mid,NPK,OF,92.12,Drip,Normal,Drip,70.83,42.45,46.08,21.22,12.74,8.49
Vegetable,Sandy,7.88,1.71,96.79,33.43,97.86,1.42,25.7,23.72,44.53,3.13,4.93,High,Late,PK,OF,124.85,Drip,Biochar,Drip,64.46,42.51,34.05,21.26,12.75,8.5
Rice,Sandy,6.9,2.38,72.71,55.05,123.75,1.32,42.36,21.39,41.36,3.63,5.91,Low,Late,PK,CF,115.81,Broadcast,Normal,Flood,65.39,42.79,36.95,21.4,12.84,8.56
Corn,Loamy,7.91,1.97,242.6,39.71,315.85,1.37,21.31,17.11,90.95,5.18,7.48,Medium,Late,NPK,OF,62.78,Broadcast,Controlled_Release,Sprinkler,77.25,25.73,40.98,12.86,7.72,5.15
Citrus,Loamy,7.34,0.78,207.46,55.33,95.22,1.12,80.98,29.59,77.42,4.54,4.13,Medium,Initial,Urea,CF,122.14,Broadcast,Normal,Flood,46.73,59.3,48.55,29.65,17.79,11.86
Corn,Loamy,7.99,2.44,238.06,28.18,269.96,1.6,78.89,20.91,57.3,5,6.33,Low,Late,NPK,CF,157.46,Broadcast,Normal,Drip,16.44,61,38.74,30.5,18.3,12.2
Corn,Loamy,7.01,1.46,159.92,36.77,151.77,1.53,85.44,24.49,43.65,1.17,6.14,Medium,Initial,NPK,OF,153.04,Broadcast,Normal,Sprinkler,28.09,63.32,41.37,31.66,19,12.66
Vegetable,Loamy,5.78,1.24,112.4,75.26,73.94,1.26,13.15,26.17,86.76,5.16,3.79,Medium,Late,Urea,OF,89.19,Broadcast,Biochar,Drip,15.34,31.18,34.96,15.59,9.35,6.24
Corn,Sandy,7.35,0.76,156.71,30.23,392.28,1.15,44.04,22.45,79.6,1.86,6.42,High,Initial,NPK,OF,109.02,Drip,Normal,Sprinkler,27.66,45.89,42.09,22.94,13.77,9.18
Corn,Loamy,7.53,2.37,66.2,53.45,276.71,1.41,86.51,39.1,74.75,4.77,5.33,High,Late,PK,CF,109.21,Broadcast,Normal,Flood,66.7,56.9,52.1,28.45,17.07,11.38
Citrus,Clay,7.38,1.67,120.88,74.3,121.26,1.56,98.28,35.43,81.31,3.5,7.15,Low,Initial,Urea,OF,74.12,Foliar,Controlled_Release,Flood,72.21,48.71,65.72,24.36,14.61,9.74
Vegetable,Sandy,7.9,2.48,124.38,43.67,227.16,1.44,118.74,18.74,92.47,4.59,2.55,High,Initial,PK,CF,197.63,Foliar,Controlled_Release,Drip,77.41,72.2,36.53,36.1,21.66,14.44
Corn,Sandy,7.69,0.85,228.63,58.66,185.99,1.13,113.38,17.77,47.13,5.05,2.07,Medium,Initial,NPK,CF,173.33,Broadcast,Controlled_Release,Drip,68.34,71.5,41.25,35.75,21.45,14.3
Wheat,Clay,6.8,1.59,63.28,62.36,111.38,1.29,15.14,26.05,60.46,4.34,3.8,High,Mid,NK,OF,135.95,Broadcast,Normal,Drip,68.94,43.84,32.25,21.92,13.15,8.77
Rice,Loamy,7.96,0.72,111.32,48.09,386.42,1.46,94.29,28.44,42.59,5.98,4.67,Medium,Late,NPK,OF,140.56,Foliar,Controlled_Release,Drip,77.47,65.14,46.34,32.57,19.54,13.03
Citrus,Clay,7.58,1.55,119.15,36.52,350.76,1.22,79.46,19.57,54.09,5.66,7.01,Low,Mid,NPK,CF,140.73,Foliar,Biochar,Sprinkler,26.43,57.01,40.51,28.5,17.1,11.4
Corn,Sandy,5.86,2.28,187.84,66.59,179.23,1.42,2.82,30.02,55.65,2.3,5.48,High,Mid,NPK,CF,88.5,Drip,Biochar,Flood,10.9,31.07,35.11,15.54,9.32,6.21
Wheat,Sandy,7.12,0.72,111.17,48.79,333.79,1.39,108.57,28.21,86.61,3.9,7.17,Medium,Initial,NK,OF,64.43,Drip,Controlled_Release,Flood,61.78,53.45,82.96,26.72,16.04,10.69
Corn,Sandy,7.69,1.04,83.11,18.13,116.36,1.15,59.42,25.69,73.5,5.28,7.32,Medium,Late,NPK,CF,147.38,Drip,Normal,Drip,25.94,60.27,40.89,30.14,18.08,12.05
Corn,Clay,7.16,1.86,114.5,71.22,76.27,1.47,92.69,21.17,45.86,1.83,5.76,High,Initial,NPK,CF,114.05,Broadcast,Controlled_Release,Flood,79.57,52.62,46.14,26.31,15.79,10.52
Vegetable,Loamy,8.35,0.65,155.47,30.82,234.32,1.32,66.14,25.3,64.18,3.61,4.82,Low,Late,NK,OF,159.72,Foliar,Biochar,Drip,79.55,62.88,39.37,31.44,18.86,12.58
Vegetable,Sandy,5.8,1.41,181.37,44.54,187.36,1.18,39.37,38.5,66.27,4.01,5.81,Medium,Initial,PK,CF,148.41,Foliar,Normal,Sprinkler,42.28,56.26,37.91,28.13,16.88,11.25
Vegetable,Loamy,7.67,1.17,59.14,24.97,74.44,1.56,58.54,25.25,55.52,0.69,6.93,Medium,Mid,NK,OF,67.64,Broadcast,Normal,Flood,60.39,43.32,64.04,21.66,13,8.66
Wheat,Sandy,7.97,2.18,127.45,44.49,270.67,1.47,99.7,33.9,91.23,4.68,3.28,Low,Initial,PK,OF,106.59,Drip,Normal,Flood,15.97,52.57,49.32,26.28,15.77,10.51
Corn,Loamy,7.61,0.6,241.04,19.05,336.87,1.46,25.01,15.42,72.38,5.82,5.38,Low,Late,PK,CF,143.11,Broadcast,Biochar,Flood,50.42,48.51,33.9,24.26,14.55,9.7
Rice,Clay,6.66,2.23,199.4,49.64,234.56,1.32,66.22,18.71,58.91,1.6,7.79,High,Mid,NPK,CF,163.37,Foliar,Controlled_Release,Flood,23.85,56.19,34.39,28.1,16.86,11.24
Citrus,Sandy,6.66,1.91,164.01,46.59,68.87,1.42,75.1,21.17,93.77,0.8,6.25,Low,Mid,NPK,CF,197.97,Foliar,Normal,Sprinkler,59.51,66.97,33.83,33.48,20.09,13.39
Vegetable,Sandy,7.26,1.09,163.24,67.29,182.1,1.42,70.31,31.52,80.57,1,5.52,Medium,Initial,NPK,CF,183.82,Foliar,Biochar,Drip,51.59,69.76,37.95,34.88,20.93,13.95
Vegetable,Sandy,6.69,0.9,142.22,49.19,137.78,1.17,47.35,28.44,88.49,3.81,6.39,Low,Late,NPK,OF,126.24,Drip,Biochar,Flood,70.21,52.62,41.68,26.31,15.79,10.52
Corn,Clay,8.15,2.4,135.51,38.61,101.99,1.54,19.77,29.86,82.76,1.91,6.07,Medium,Initial,NPK,CF,159.55,Drip,Biochar,Drip,22.7,43.88,27.5,21.94,13.16,8.78
Corn,Clay,5.83,1.61,150.16,42.64,224.73,1.51,31.38,25.99,63.53,3.31,3.27,Low,Initial,PK,CF,147.57,Drip,Controlled_Release,Drip,79.62,49.32,33.42,24.66,14.8,9.86
Wheat,Loamy,7.42,1.19,267.3,52.33,72.88,1.17,54.87,34.13,44.61,2.95,4.31,Low,Late,NPK,CF,71.39,Foliar,Normal,Flood,72.79,43.62,61.1,21.81,13.09,8.72
Wheat,Clay,5.9,0.59,167.21,68.77,72.1,1.26,24.78,17.83,68.91,5.98,4.86,Medium,Mid,NPK,OF,182.46,Broadcast,Controlled_Release,Drip,59.35,55.04,30.17,27.52,16.51,11.01
Vegetable,Sandy,7.12,0.83,217.32,12.92,321.85,1.13,87.51,26.32,57.46,4.03,6.87,High,Late,NPK,OF,60.52,Broadcast,Controlled_Release,Drip,43.17,50.98,84.24,25.49,15.29,10.2
Corn,Loamy,7.65,1.7,251.96,74.86,199.64,1.27,33.38,33.16,42.31,4.44,7.24,High,Initial,PK,CF,105.39,Drip,Biochar,Sprinkler,72.27,42.71,40.53,21.36,12.81,8.54
Rice,Clay,6,1.53,157.99,15.87,310.63,1.46,23.71,24.98,56.7,2.18,2.47,Low,Late,NPK,OF,121.65,Broadcast,Controlled_Release,Drip,44.94,36.81,30.26,18.4,11.04,7.36
Citrus,Loamy,7.61,2.02,259.79,34.13,164.31,1.1,42.68,24.06,91.06,5.87,3.9,Medium,Initial,NPK,OF,80.68,Broadcast,Controlled_Release,Sprinkler,27.7,36.07,44.71,18.04,10.82,7.21
Corn,Loamy,5.92,2.17,298.17,33.53,172.56,1.35,27.09,27.04,46.7,4.9,2.36,High,Mid,Urea,CF,178,Foliar,Controlled_Release,Drip,36.41,53.63,30.13,26.82,16.09,10.73
Corn,Loamy,7.36,1.29,176.04,47.22,199.89,1.53,84.62,15.67,68.52,0.97,2.18,Low,Initial,NK,OF,128.07,Drip,Normal,Drip,11.01,56.5,44.12,28.25,16.95,11.3
Wheat,Sandy,7.02,0.7,150.69,34.83,156.57,1.26,95.84,34.01,47.22,5.99,2.27,Medium,Late,NPK,OF,192.39,Drip,Biochar,Drip,73.47,78.61,40.86,39.3,23.58,15.72
Citrus,Sandy,6.39,2.08,251.45,25.35,245.67,1.46,50.35,33.57,50.23,2.31,3.76,Medium,Late,NPK,CF,124.29,Foliar,Controlled_Release,Sprinkler,15.53,50.89,40.94,25.44,15.27,10.18
Vegetable,Clay,5.83,1.61,212.29,27.04,75.51,1.13,79.53,35.91,64.76,1.55,2.76,Medium,Mid,Urea,CF,167.86,Drip,Controlled_Release,Sprinkler,67.48,64.4,38.37,32.2,19.32,12.88
Corn,Sandy,7.71,2.46,203.3,78.97,245.08,1.38,23.67,18.46,83.31,1.9,4.87,High,Initial,NK,OF,137.84,Drip,Normal,Drip,69.64,45.01,32.65,22.5,13.5,9
Vegetable,Loamy,6.65,2.09,271.53,68.56,299.81,1.54,40.31,34.85,94.89,3.97,2.15,Medium,Initial,PK,CF,156.46,Foliar,Normal,Drip,43.21,48.98,31.31,24.49,14.69,9.8
Corn,Loamy,5.76,1.16,212.36,66.38,397.28,1.3,18.42,33.9,45.57,3.4,2.58,High,Initial,NPK,OF,190.81,Foliar,Biochar,Sprinkler,30.61,57.34,30.05,28.67,17.2,11.47
Vegetable,Sandy,7.82,1.36,210.39,39.35,273.12,1.41,25.34,37.32,49.84,5.17,2.68,High,Late,Urea,CF,63.7,Drip,Controlled_Release,Sprinkler,19.19,38.89,61.05,19.44,11.67,7.78
Citrus,Loamy,6.2,0.97,101.73,75.53,298.13,1.42,56.78,17.73,66.74,1.1,6.65,High,Initial,NK,CF,124.21,Drip,Normal,Drip,39.92,53.37,42.97,26.68,16.01,10.67
Wheat,Sandy,7.71,1.52,222.06,14.39,258.32,1.47,77.66,35.37,60.14,3.58,2.47,Medium,Initial,NK,OF,129.72,Broadcast,Biochar,Drip,20.35,54.74,42.2,27.37,16.42,10.95
Citrus,Loamy,7.19,1.92,278.25,18.77,382.83,1.21,17.21,24.61,72.1,5.31,7.01,High,Initial,NK,CF,162.92,Foliar,Normal,Drip,38.68,45.6,27.99,22.8,13.68,9.12
Rice,Clay,6.08,1.72,194.09,27.27,333.42,1.47,63.48,17.07,73.62,4.86,7.72,Low,Mid,NPK,OF,61.41,Broadcast,Biochar,Drip,49.82,32.85,53.49,16.42,9.86,6.57
Wheat,Clay,5.73,1.18,275.84,54.92,265.3,1.22,55.35,35.21,57.83,2.49,5.47,Low,Initial,NK,OF,107.17,Broadcast,Normal,Sprinkler,68.89,45.6,42.55,22.8,13.68,9.12
Citrus,Sandy,7.28,2.15,134.89,21.68,166.44,1.4,1.42,34.36,89.52,4.37,4.87,High,Mid,NK,OF,165.11,Foliar,Biochar,Flood,13.85,42.97,26.03,21.48,12.89,8.59
Rice,Sandy,5.58,0.71,60.65,33.52,163.55,1.18,104.95,30.51,57.39,2.62,6.95,Medium,Initial,Urea,CF,114.9,Drip,Controlled_Release,Sprinkler,10.52,62.84,54.69,31.42,18.85,12.57
Corn,Sandy,5.7,0.79,161.28,22.41,313.65,1.47,69.43,26.98,45.74,4.7,5.06,Medium,Late,Urea,OF,123.78,Foliar,Normal,Drip,39.25,55.91,45.17,27.96,16.77,11.18
Corn,Sandy,7.61,1.31,50.99,65.98,375.01,1.24,31.21,21.93,57.66,1.15,3.94,High,Mid,PK,OF,73.44,Broadcast,Biochar,Sprinkler,57.52,36.15,49.22,18.08,10.84,7.23
Vegetable,Sandy,7.12,1.9,88.7,73.64,394.97,1.43,71.65,38.38,59.88,2.05,2.8,Low,Mid,PK,OF,69.9,Drip,Controlled_Release,Drip,64.97,40.39,57.78,20.2,12.12,8.08
Wheat,Loamy,6.48,1.89,97.65,69.53,141.82,1.18,111.49,32.87,66.47,5.07,6.5,Low,Initial,PK,CF,98.2,Broadcast,Normal,Drip,76.31,55.23,56.24,27.62,16.57,11.05
Corn,Clay,7.12,1.23,183.46,11.91,257.18,1.22,2.36,25.97,83.99,1.7,2.37,Medium,Mid,NK,OF,67.35,Broadcast,Normal,Flood,35.94,27.55,40.91,13.78,8.26,5.51
Wheat,Loamy,7.27,1.89,287.48,32.2,295.7,1.51,114.25,24.8,93.82,1.46,2.33,High,Late,Urea,OF,162.16,Broadcast,Normal,Drip,53.99,66.72,41.14,33.36,20.02,13.34
Corn,Clay,7.2,0.62,54.95,54.63,194.56,1.15,78.72,31.8,41.7,2.6,3.92,High,Mid,Urea,OF,193.09,Foliar,Controlled_Release,Sprinkler,64.75,75.78,39.25,37.89,22.73,15.16
Vegetable,Loamy,7.43,1.08,109.17,10.05,88.23,1.15,64.65,24.72,78.35,4.46,5.6,Low,Initial,NK,OF,140.49,Foliar,Controlled_Release,Sprinkler,47.48,50.95,36.27,25.48,15.28,10.19
Citrus,Loamy,8.32,1.89,292.36,62.25,150.1,1.49,47.64,20.65,47.32,1.04,2.01,Low,Late,NPK,CF,103.7,Drip,Biochar,Drip,38.66,42.51,40.99,21.26,12.75,8.5
Vegetable,Loamy,6.67,0.87,270.41,70.81,230.42,1.16,15.85,28.05,91.85,2.42,6.55,Low,Late,PK,CF,73.69,Broadcast,Biochar,Flood,57.42,33,44.78,16.5,9.9,6.6
Rice,Sandy,6.4,0.93,258.71,15.43,90.25,1.55,2.17,33.71,92.87,4.75,7,High,Mid,PK,CF,168.22,Drip,Biochar,Drip,63.22,53.31,31.69,26.66,15.99,10.66
Corn,Clay,5.62,0.67,72.95,40.19,159.54,1.17,52.15,38.71,61.21,5.88,6.38,High,Late,NPK,CF,122.65,Broadcast,Biochar,Flood,75.15,59.32,48.37,29.66,17.8,11.86
Rice,Sandy,5.94,1.23,211.02,31.2,140.21,1.44,66.16,21.7,50.71,1.51,3.91,Low,Initial,NK,CF,63.68,Broadcast,Normal,Flood,44.11,42.05,66.03,21.02,12.61,8.41
Rice,Sandy,5.82,2.15,100.78,76.29,174.04,1.4,118.75,23.86,47.91,4.29,7.76,Low,Mid,NK,OF,108.13,Broadcast,Normal,Sprinkler,26.86,61.54,56.91,30.77,18.46,12.31
Wheat,Loamy,6.51,2.17,212.76,32.73,290.41,1.46,63.05,17.8,71.05,3.6,7.2,Low,Initial,NK,OF,77.53,Foliar,Normal,Drip,15.39,34.41,44.38,17.2,10.32,6.88
Corn,Clay,7.33,2.22,156.88,50.67,216.67,1.45,84.62,36.26,56.62,1.06,6.05,Low,Late,NPK,CF,192.46,Drip,Normal,Sprinkler,31.07,65.35,33.96,32.67,19.6,13.07
Rice,Clay,5.64,0.57,208.92,10.63,181.66,1.28,75.82,31.09,56.61,4.26,2.17,Medium,Late,Urea,CF,178.78,Drip,Biochar,Sprinkler,77.63,70.04,39.18,35.02,21.01,14.01
Citrus,Clay,7.68,2.49,157.22,68.56,146.17,1.57,105.51,35.11,74.98,4.06,7.56,Medium,Late,NK,OF,123.89,Drip,Biochar,Drip,43.24,56.14,45.31,28.07,16.84,11.23
Rice,Clay,6.69,1.51,276.93,12.05,291.03,1.35,58.46,16.7,75.2,0.77,4.03,High,Mid,PK,CF,83.58,Broadcast,Controlled_Release,Sprinkler,35.95,40.76,48.77,20.38,12.23,8.15
Citrus,Sandy,8.39,2.25,56.33,49.85,286.05,1.59,21.18,25.87,92.44,5.38,5.6,Medium,Late,NPK,CF,173.91,Drip,Biochar,Sprinkler,64.56,50.2,28.87,25.1,15.06,10.04
Wheat,Sandy,7.21,2.31,97.89,61.85,206.27,1.29,28.37,35.45,52.24,2.79,5.38,High,Mid,PK,CF,142.58,Drip,Controlled_Release,Flood,19.88,48.09,33.73,24.04,14.43,9.62
Rice,Clay,7.81,1.53,258.25,37.76,147.57,1.36,43.05,18.47,40.82,0.95,7.13,High,Late,NPK,OF,162.82,Broadcast,Biochar,Sprinkler,10.27,53.58,32.91,26.79,16.07,10.72
Vegetable,Sandy,8.08,0.6,234.19,12.22,333.12,1.39,22.77,29,47.32,3.75,2.83,High,Late,PK,OF,192.86,Drip,Controlled_Release,Flood,75,62.58,32.45,31.29,18.77,12.52
Wheat,Clay,8.17,1.69,96.57,73.05,348.25,1.38,95.04,27.78,61.96,4.6,2.65,Low,Initial,Urea,CF,95.41,Drip,Controlled_Release,Flood,35.21,50.5,52.93,25.25,15.15,10.1
Citrus,Sandy,7.06,1.17,80.36,35.63,346.16,1.43,44.35,15.02,75.25,1.17,2.46,Medium,Initial,NPK,OF,127.33,Broadcast,Normal,Flood,68.61,47.61,37.39,23.8,14.28,9.52
Wheat,Loamy,6.69,0.91,127.82,42.63,187.43,1.24,45.69,22.77,80.5,2.66,3.24,Low,Mid,Urea,CF,162.24,Broadcast,Biochar,Sprinkler,20.54,56.32,34.71,28.16,16.9,11.26
Rice,Loamy,7.18,0.87,170.47,66.92,138.96,1.13,60.06,26.3,40.47,1.94,6.16,Low,Late,NPK,CF,147.65,Foliar,Controlled_Release,Flood,40.35,55.19,37.38,27.6,16.56,11.04
